Location,Date,Stay_Home_Order,Status_of_Reopening,NonEss_Business_Closed,Gathering_Limit,Emergency_Declaration,Travel_Quarantine,Restaurants,School_Closed,Mask_Requirement
North Dakota,2020-03-25,NA,NA,-,-,Yes,NA,No Indoor,Closed,NA
Ohio,2020-03-25,NA,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Oklahoma,2020-03-25,NA,NA,All Closed,10,Yes,NA,-,Closed,NA
Oregon,2020-03-25,NA,NA,Retail Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Pennsylvania,2020-03-25,NA,NA,All Closed,-,Yes,NA,No Indoor,Closed,NA
Rhode Island,2020-03-25,NA,NA,-,10,Yes,NA,No Indoor,Closed,NA
South Carolina,2020-03-25,NA,NA,-,50,Yes,NA,No Indoor,Closed,NA
South Dakota,2020-03-25,NA,NA,-,10,Yes,NA,-,Closed,NA
Tennessee,2020-03-25,NA,NA,-,10,Yes,NA,No Indoor,Closed,NA
Texas,2020-03-25,NA,NA,-,10,Yes,NA,No Indoor,Closed,NA
Utah,2020-03-25,NA,NA,-,10,Yes,NA,No Indoor,Closed,NA
Vermont,2020-03-25,NA,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Virginia,2020-03-25,NA,NA,-,10,Yes,NA,No Indoor,Closed,NA
Washington,2020-03-25,NA,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
West Virginia,2020-03-25,NA,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Wisconsin,2020-03-25,NA,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Wyoming,2020-03-25,NA,NA,-,10,Yes,NA,No Indoor,Closed,NA
Alabama,2020-03-26,-,NA,-,25,Yes,NA,No Indoor,Closed,NA
Alaska,2020-03-26,High-Risk Groups,NA,Other,10,Yes,NA,No Indoor,Closed,NA
Arizona,2020-03-26,-,NA,-,-,Yes,NA,No Indoor,Closed,NA
Arkansas,2020-03-26,-,NA,-,-,Yes,NA,No Indoor,Closed,NA
California,2020-03-26,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Colorado,2020-03-26,-,NA,Other,10,Yes,NA,No Indoor,Closed,NA
Connecticut,2020-03-26,-,NA,All Closed,50,Yes,NA,No Indoor,Closed,NA
Delaware,2020-03-26,Statewide,NA,All Closed,50,Yes,NA,No Indoor,Closed,NA
District of Columbia,2020-03-26,-,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Florida,2020-03-26,NA,NA,-,-,Yes,NA,No Indoor,Closed,NA
Georgia,2020-03-26,High-Risk Groups,NA,-,-,Yes,NA,Limited Indoor,Closed,NA
Hawaii,2020-03-26,Statewide,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Idaho,2020-03-26,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,NA,NA
Illinois,2020-03-26,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Indiana,2020-03-26,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Iowa,2020-03-26,-,NA,-,10,Yes,NA,No Indoor,NA,NA
Kansas,2020-03-26,NA,NA,-,10,Yes,NA,Limited Indoor,Closed,NA
Kentucky,2020-03-26,-,NA,Retail Closed,Other,Yes,NA,No Indoor,Closed,NA
Louisiana,2020-03-26,Statewide,NA,-,10,Yes,NA,No Indoor,Closed,NA
Maine,2020-03-26,-,NA,All Closed,10,Yes,NA,No Indoor,NA,NA
Maryland,2020-03-26,-,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Massachusetts,2020-03-26,-,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Michigan,2020-03-26,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Minnesota,2020-03-26,Statewide,NA,-,-,Yes,NA,No Indoor,Closed,NA
Mississippi,2020-03-26,-,NA,-,10,Yes,NA,Limited Indoor,Closed,NA
Missouri,2020-03-26,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
Montana,2020-03-26,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
Nebraska,2020-03-26,-,NA,-,Other,Yes,NA,NA,-,NA
Nevada,2020-03-26,-,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
New Hampshire,2020-03-26,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
New Jersey,2020-03-26,Statewide,NA,Retail Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
New Mexico,2020-03-26,-,NA,All Closed,All Prohbited,Yes,NA,Limited Indoor,Closed,NA
New York,2020-03-26,High-Risk Groups,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
North Carolina,2020-03-26,-,NA,-,50,Yes,NA,No Indoor,Closed,NA
North Dakota,2020-03-26,-,NA,-,-,Yes,NA,No Indoor,Closed,NA
Ohio,2020-03-26,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Oklahoma,2020-03-26,High-Risk Groups,NA,Other,10,Yes,NA,NA,Closed,NA
Oregon,2020-03-26,Statewide,NA,Retail Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Pennsylvania,2020-03-26,NA,NA,All Closed,-,Yes,NA,No Indoor,Closed,NA
Rhode Island,2020-03-26,NA,NA,-,10,Yes,NA,No Indoor,Closed,NA
South Carolina,2020-03-26,-,NA,-,50,Yes,NA,No Indoor,Closed,NA
South Dakota,2020-03-26,-,NA,-,10,Yes,NA,-,Closed,NA
Tennessee,2020-03-26,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
Texas,2020-03-26,NA,NA,-,10,Yes,NA,No Indoor,Closed,NA
Utah,2020-03-26,-,NA,-,-,Yes,NA,No Indoor,Closed,NA
Vermont,2020-03-26,Statewide,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Virginia,2020-03-26,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
Washington,2020-03-26,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
West Virginia,2020-03-26,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Wisconsin,2020-03-26,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Wyoming,2020-03-26,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
Alabama,2020-03-27,-,NA,-,25,Yes,NA,No Indoor,Closed,NA
Alaska,2020-03-27,High-Risk Groups,NA,Other,10,Yes,NA,No Indoor,Closed,NA
Arizona,2020-03-27,-,NA,-,-,Yes,NA,No Indoor,Closed,NA
Arkansas,2020-03-27,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
California,2020-03-27,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Colorado,2020-03-27,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Connecticut,2020-03-27,-,NA,All Closed,Other,Yes,NA,No Indoor,Closed,NA
Delaware,2020-03-27,Statewide,NA,All Closed,50,Yes,NA,No Indoor,Closed,NA
District of Columbia,2020-03-27,-,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Florida,2020-03-27,NA,NA,-,-,Yes,NA,No Indoor,Closed,NA
Georgia,2020-03-27,High-Risk Groups,NA,-,-,Yes,NA,Limited Indoor,Closed,NA
Hawaii,2020-03-27,Statewide,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Idaho,2020-03-27,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Illinois,2020-03-27,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Indiana,2020-03-27,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Iowa,2020-03-27,-,NA,Other,10,Yes,NA,No Indoor,NA,NA
Kansas,2020-03-27,NA,NA,-,10,Yes,NA,Limited Indoor,Closed,NA
Kentucky,2020-03-27,-,NA,Retail Closed,Other,Yes,NA,No Indoor,Closed,NA
Louisiana,2020-03-27,Statewide,NA,-,10,Yes,NA,No Indoor,Closed,NA
Maine,2020-03-27,-,NA,All Closed,10,Yes,NA,No Indoor,NA,NA
Maryland,2020-03-27,-,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Massachusetts,2020-03-27,-,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Michigan,2020-03-27,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Minnesota,2020-03-27,Statewide,NA,-,-,Yes,NA,No Indoor,Closed,NA
Mississippi,2020-03-27,-,NA,-,10,Yes,NA,Limited Indoor,Closed,NA
Missouri,2020-03-27,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
Montana,2020-03-27,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Nebraska,2020-03-27,-,NA,-,Other,Yes,NA,NA,-,NA
Nevada,2020-03-27,-,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
New Hampshire,2020-03-27,Statewide,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
New Jersey,2020-03-27,Statewide,NA,Retail Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
New Mexico,2020-03-27,-,NA,All Closed,All Prohbited,Yes,NA,Limited Indoor,Closed,NA
New York,2020-03-27,High-Risk Groups,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
North Carolina,2020-03-27,Statewide,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
North Dakota,2020-03-27,-,NA,-,-,Yes,NA,No Indoor,Closed,NA
Ohio,2020-03-27,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Oklahoma,2020-03-27,High-Risk Groups,NA,Other,10,Yes,NA,NA,Closed,NA
Oregon,2020-03-27,Statewide,NA,Retail Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Pennsylvania,2020-03-27,NA,NA,All Closed,-,Yes,NA,No Indoor,Closed,NA
Rhode Island,2020-03-27,NA,NA,-,10,Yes,NA,No Indoor,Closed,NA
South Carolina,2020-03-27,-,NA,-,50,Yes,NA,No Indoor,Closed,NA
South Dakota,2020-03-27,-,NA,-,10,Yes,NA,-,Closed,NA
Tennessee,2020-03-27,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
Texas,2020-03-27,NA,NA,-,10,Yes,NA,No Indoor,Closed,NA
Utah,2020-03-27,-,NA,-,-,Yes,NA,No Indoor,Closed,NA
Vermont,2020-03-27,Statewide,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Virginia,2020-03-27,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
Washington,2020-03-27,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
West Virginia,2020-03-27,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Wisconsin,2020-03-27,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Wyoming,2020-03-27,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
Alabama,2020-03-28,-,NA,-,25,Yes,NA,No Indoor,Closed,NA
Alaska,2020-03-28,High-Risk Groups,NA,Other,10,Yes,NA,No Indoor,Closed,NA
Arizona,2020-03-28,-,NA,-,-,Yes,NA,No Indoor,Closed,NA
Arkansas,2020-03-28,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
California,2020-03-28,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Colorado,2020-03-28,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Connecticut,2020-03-28,-,NA,All Closed,Other,Yes,NA,No Indoor,Closed,NA
Delaware,2020-03-28,Statewide,NA,All Closed,50,Yes,NA,No Indoor,Closed,NA
District of Columbia,2020-03-28,-,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Florida,2020-03-28,NA,NA,-,-,Yes,NA,No Indoor,Closed,NA
Georgia,2020-03-28,High-Risk Groups,NA,-,-,Yes,NA,Limited Indoor,Closed,NA
Hawaii,2020-03-28,Statewide,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Idaho,2020-03-28,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Illinois,2020-03-28,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Indiana,2020-03-28,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Iowa,2020-03-28,-,NA,Other,10,Yes,NA,No Indoor,NA,NA
Kansas,2020-03-28,NA,NA,-,10,Yes,NA,Limited Indoor,Closed,NA
Kentucky,2020-03-28,-,NA,Retail Closed,Other,Yes,NA,No Indoor,Closed,NA
Louisiana,2020-03-28,Statewide,NA,-,10,Yes,NA,No Indoor,Closed,NA
Maine,2020-03-28,-,NA,All Closed,10,Yes,NA,No Indoor,NA,NA
Maryland,2020-03-28,-,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Massachusetts,2020-03-28,-,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Michigan,2020-03-28,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Minnesota,2020-03-28,Statewide,NA,-,-,Yes,NA,No Indoor,Closed,NA
Mississippi,2020-03-28,-,NA,-,10,Yes,NA,Limited Indoor,Closed,NA
Missouri,2020-03-28,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
Montana,2020-03-28,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Nebraska,2020-03-28,-,NA,-,Other,Yes,NA,NA,-,NA
Nevada,2020-03-28,-,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
New Hampshire,2020-03-28,Statewide,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
New Jersey,2020-03-28,Statewide,NA,Retail Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
New Mexico,2020-03-28,-,NA,All Closed,All Prohbited,Yes,NA,Limited Indoor,Closed,NA
New York,2020-03-28,High-Risk Groups,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
North Carolina,2020-03-28,Statewide,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
North Dakota,2020-03-28,-,NA,-,-,Yes,NA,No Indoor,Closed,NA
Ohio,2020-03-28,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Oklahoma,2020-03-28,High-Risk Groups,NA,Other,10,Yes,NA,NA,Closed,NA
Oregon,2020-03-28,Statewide,NA,Retail Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Pennsylvania,2020-03-28,NA,NA,All Closed,-,Yes,NA,No Indoor,Closed,NA
Rhode Island,2020-03-28,NA,NA,-,10,Yes,NA,No Indoor,Closed,NA
South Carolina,2020-03-28,-,NA,-,50,Yes,NA,No Indoor,Closed,NA
South Dakota,2020-03-28,-,NA,-,10,Yes,NA,-,Closed,NA
Tennessee,2020-03-28,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
Texas,2020-03-28,NA,NA,-,10,Yes,NA,No Indoor,Closed,NA
Utah,2020-03-28,-,NA,-,-,Yes,NA,No Indoor,Closed,NA
Vermont,2020-03-28,Statewide,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Virginia,2020-03-28,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
Washington,2020-03-28,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
West Virginia,2020-03-28,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Wisconsin,2020-03-28,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Wyoming,2020-03-28,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
Alabama,2020-03-29,-,NA,-,25,Yes,NA,No Indoor,Closed,NA
Alaska,2020-03-29,High-Risk Groups,NA,Other,10,Yes,NA,No Indoor,Closed,NA
Arizona,2020-03-29,-,NA,-,-,Yes,NA,No Indoor,Closed,NA
Arkansas,2020-03-29,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
California,2020-03-29,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Colorado,2020-03-29,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Connecticut,2020-03-29,-,NA,All Closed,Other,Yes,NA,No Indoor,Closed,NA
Delaware,2020-03-29,Statewide,NA,All Closed,50,Yes,NA,No Indoor,Closed,NA
District of Columbia,2020-03-29,-,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Florida,2020-03-29,NA,NA,-,-,Yes,NA,No Indoor,Closed,NA
Georgia,2020-03-29,High-Risk Groups,NA,-,-,Yes,NA,Limited Indoor,Closed,NA
Hawaii,2020-03-29,Statewide,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Idaho,2020-03-29,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Illinois,2020-03-29,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Indiana,2020-03-29,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Iowa,2020-03-29,-,NA,Other,10,Yes,NA,No Indoor,NA,NA
Kansas,2020-03-29,NA,NA,-,10,Yes,NA,Limited Indoor,Closed,NA
Kentucky,2020-03-29,-,NA,Retail Closed,Other,Yes,NA,No Indoor,Closed,NA
Louisiana,2020-03-29,Statewide,NA,-,10,Yes,NA,No Indoor,Closed,NA
Maine,2020-03-29,-,NA,All Closed,10,Yes,NA,No Indoor,NA,NA
Maryland,2020-03-29,-,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Massachusetts,2020-03-29,-,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Michigan,2020-03-29,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Minnesota,2020-03-29,Statewide,NA,-,-,Yes,NA,No Indoor,Closed,NA
Mississippi,2020-03-29,-,NA,-,10,Yes,NA,Limited Indoor,Closed,NA
Missouri,2020-03-29,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
Montana,2020-03-29,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Nebraska,2020-03-29,-,NA,-,Other,Yes,NA,NA,-,NA
Nevada,2020-03-29,-,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
New Hampshire,2020-03-29,Statewide,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
New Jersey,2020-03-29,Statewide,NA,Retail Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
New Mexico,2020-03-29,-,NA,All Closed,All Prohbited,Yes,NA,Limited Indoor,Closed,NA
New York,2020-03-29,High-Risk Groups,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
North Carolina,2020-03-29,Statewide,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
North Dakota,2020-03-29,-,NA,-,-,Yes,NA,No Indoor,Closed,NA
Ohio,2020-03-29,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Oklahoma,2020-03-29,High-Risk Groups,NA,Other,10,Yes,NA,NA,Closed,NA
Oregon,2020-03-29,Statewide,NA,Retail Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Pennsylvania,2020-03-29,NA,NA,All Closed,-,Yes,NA,No Indoor,Closed,NA
Rhode Island,2020-03-29,NA,NA,-,10,Yes,NA,No Indoor,Closed,NA
South Carolina,2020-03-29,-,NA,-,50,Yes,NA,No Indoor,Closed,NA
South Dakota,2020-03-29,-,NA,-,10,Yes,NA,-,Closed,NA
Tennessee,2020-03-29,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
Texas,2020-03-29,NA,NA,-,10,Yes,NA,No Indoor,Closed,NA
Utah,2020-03-29,-,NA,-,-,Yes,NA,No Indoor,Closed,NA
Vermont,2020-03-29,Statewide,NA,All Closed,10,Yes,NA,No Indoor,Closed,NA
Virginia,2020-03-29,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
Washington,2020-03-29,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
West Virginia,2020-03-29,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Wisconsin,2020-03-29,Statewide,NA,All Closed,All Prohbited,Yes,NA,No Indoor,Closed,NA
Wyoming,2020-03-29,-,NA,-,10,Yes,NA,No Indoor,Closed,NA
Alabama,2020-03-30,-,NA,Other,10,NA,-,No Indoor,Closed,NA
Alaska,2020-03-30,Statewide,NA,All Closed,All Prohbited,NA,All Travelers,No Indoor,Closed,NA
Arizona,2020-03-30,-,NA,-,-,NA,-,No Indoor,Closed,NA
Arkansas,2020-03-30,-,NA,-,10,NA,-,No Indoor,Closed,NA
California,2020-03-30,Statewide,NA,All Closed,All Prohbited,NA,-,No Indoor,Closed,NA
Colorado,2020-03-30,Statewide,NA,All Closed,All Prohbited,NA,-,No Indoor,Closed,NA
Connecticut,2020-03-30,-,NA,All Closed,Other,NA,-,No Indoor,Closed,NA
Delaware,2020-03-30,Statewide,NA,All Closed,50,NA,All Travelers,No Indoor,Closed,NA
District of Columbia,2020-03-30,-,NA,All Closed,10,NA,-,No Indoor,Closed,NA
Florida,2020-03-30,-,NA,-,-,NA,Certain States,No Indoor,Closed,NA
Georgia,2020-03-30,High-Risk Groups,NA,-,Other,NA,-,Limited Indoor,Closed,NA
Hawaii,2020-03-30,Statewide,NA,All Closed,10,NA,All Travelers,No Indoor,Closed,NA
Idaho,2020-03-30,Statewide,NA,All Closed,All Prohbited,NA,-,No Indoor,Closed,NA
Illinois,2020-03-30,Statewide,NA,All Closed,All Prohbited,NA,-,No Indoor,Closed,NA
Indiana,2020-03-30,Statewide,NA,All Closed,All Prohbited,NA,-,No Indoor,Closed,NA
Iowa,2020-03-30,-,NA,Other,10,NA,-,No Indoor,NA,NA
Kansas,2020-03-30,Statewide,NA,All Closed,10,NA,Certain States,Limited Indoor,Closed,NA
Kentucky,2020-03-30,-,NA,Retail Closed,Other,NA,-,No Indoor,Closed,NA
Louisiana,2020-03-30,Statewide,NA,-,10,NA,-,No Indoor,Closed,NA
Maine,2020-03-30,-,NA,All Closed,10,NA,-,No Indoor,NA,NA
Maryland,2020-03-30,Statewide,NA,All Closed,10,NA,All Travelers,No Indoor,Closed,NA
Massachusetts,2020-03-30,-,NA,All Closed,10,NA,All Travelers,No Indoor,Closed,NA
Michigan,2020-03-30,Statewide,NA,All Closed,All Prohbited,NA,-,No Indoor,Closed,NA
Minnesota,2020-03-30,Statewide,NA,-,-,NA,-,No Indoor,Closed,NA
Mississippi,2020-03-30,-,NA,-,10,NA,-,Limited Indoor,Closed,NA
Missouri,2020-03-30,-,NA,-,10,NA,-,No Indoor,Closed,NA
Montana,2020-03-30,Statewide,NA,All Closed,All Prohbited,NA,-,No Indoor,Closed,NA
Nebraska,2020-03-30,-,NA,-,Other,NA,-,NA,-,NA
Nevada,2020-03-30,-,NA,All Closed,10,NA,-,No Indoor,Closed,NA
New Hampshire,2020-03-30,Statewide,NA,All Closed,10,NA,-,No Indoor,Closed,NA
New Jersey,2020-03-30,Statewide,NA,Retail Closed,All Prohbited,NA,-,No Indoor,Closed,NA
New Mexico,2020-03-30,-,NA,All Closed,All Prohbited,NA,Air Travelers,Limited Indoor,Closed,NA
New York,2020-03-30,High-Risk Groups,NA,All Closed,All Prohbited,NA,-,No Indoor,Closed,NA
North Carolina,2020-03-30,Statewide,NA,All Closed,10,NA,-,No Indoor,Closed,NA
North Dakota,2020-03-30,-,NA,-,-,NA,-,No Indoor,Closed,NA
Ohio,2020-03-30,Statewide,NA,All Closed,All Prohbited,NA,-,No Indoor,Closed,NA
Oklahoma,2020-03-30,High-Risk Groups,NA,Other,10,NA,-,NA,Closed,NA
Oregon,2020-03-30,Statewide,NA,Retail Closed,All Prohbited,NA,-,No Indoor,Closed,NA
Pennsylvania,2020-03-30,NA,NA,All Closed,-,NA,-,No Indoor,Closed,NA
Rhode Island,2020-03-30,Statewide,NA,Retail Closed,Other,NA,All Travelers,No Indoor,Closed,NA
South Carolina,2020-03-30,-,NA,-,50,NA,-,No Indoor,Closed,NA
South Dakota,2020-03-30,-,NA,-,10,NA,-,-,Closed,NA
Tennessee,2020-03-30,-,NA,-,10,NA,-,No Indoor,Closed,NA
Texas,2020-03-30,-,NA,-,10,NA,Certain States,No Indoor,Closed,NA
Utah,2020-03-30,High-Risk Groups,NA,-,-,NA,All Travelers,No Indoor,Closed,NA
